"year";"topic";"mean";"std";"se"
1999;"educ, econom, societi, economi, social";0,144642857142857;0,0705261781109809;0,0133281948715359
1999;"educ, finnish, finland, care, nurs";0,113125;0,0583337173566468;0,0103120417786761
1999;"educ, ltr, field, practic, question";0,09425;0,0418107764295406;0,00661086421287154
1999;"educ, process, context, portug, portugues";0,15;0,0805930399925334;0,0171824938596845
1999;"educ, spain, train, process, spanish";0,13;0,0596786265051271;0,0114851570258674
1999;"educ, system, reform, develop, process";0,140810810810811;0,0979336050137592;0,0161001854874249
1999;"educ, theori, philosophi, critic, concept";0,187837837837838;0,146536592607352;0,0240904674278263
1999;"educ, univers, press, london, intern";0,103333333333333;0,034778208831448;0,00897969490767479
1999;"emot, social, relationship, behaviour, posit";0,133448275862069;0,0732059649242643;0,0135940064131887
1999;"england, ireland, explor, polici, initi";0,18703125;0,0983140366457776;0,0122892545807222
1999;"european, educ, europ, adult, polici";0,121;0,0627172087696995;0,0114505433289751
1999;"experi, narr, stori, life, ethnograph";0,145428571428571;0,0910508215275422;0,0153903978421058
1999;"feedback, form, perform, standard, process";0,1255;0,0845716762341426;0,0189108017030646
1999;"gender, women, girl, boi, femal";0,12304347826087;0,0626269461761611;0,0130586209861062
1999;"german, germani, question, educ, process";0,0935714285714286;0,0391461055843053;0,0104622367944963
1999;"global, intern, educ, nation, countri";0,12;0,0755585263824733;0,0218118677732462
1999;"govern, system, school, local, account";0,135909090909091;0,0873231050485762;0,0186173485507527
1999;"group, collabor, peer, interact, cooper";0,111481481481481;0,0696531905340089;0,0134047627682421
1999;"health, physic, activ, sport, promot";0,1275;0,0900631091866344;0,025998980166479
1999;"higher, educ, institut, univers, student";0,11625;0,0540216006180244;0,0135054001545061
1999;"ident, construct, agenc, individu, context";0,119545454545455;0,0928120103438626;0,0197875870917158
1999;"immigr, migrant, refuge, migrat, czech";0,085;0,0372827037646145;0,0152206000757745
1999;"inclus, educ, disabl, school, practic";0,131333333333333;0,0542305484109499;0,0140022673900869
1999;"interview, analysi, method, qualit, particip";0,1096;0,052154655670497;0,00602230089817074
1999;"knowledg, scientif, content, subject, understand";0,135217391304348;0,054428398772014;0,0113491056780113
1999;"languag, english, linguist, foreign, multilingu";0,109411764705882;0,0540220543198903;0,0131022727102213
1999;"leadership, school, princip, leader, manag";0,168;0,108772370441342;0,0280849052831215
1999;"learn, activ, interact, practic, social";0,168947368421053;0,0783081333112344;0,0179651178716306
1999;"learn, learner, environ, process, teach";0,124905660377358;0,0662635368320906;0,00910199678849069
1999;"learn, teach, pedagog, pedagogi, practic";0,129310344827586;0,0668650578448201;0,012416529528722
1999;"literaci, read, skill, comprehens, text";0,127692307692308;0,0706108875167098;0,0195839365805782
1999;"literatur, review, evid, field, context";0,116785714285714;0,0695516632614481;0,0131440288757642
1999;"make, decis, educ, inform, process";0,089;0,0511859355682789;0,0114455231422596
1999;"mathemat, student, stem, math, engin";0,113333333333333;0,0412310562561766;0,0137436854187255
1999;"measur, scale, item, model, instrument";0,13195652173913;0,0777637323411939;0,0114656368142915
1999;"model, mentor, quot, learn, develop";0,09;0,0423083916026124;0,00923244795480025
1999;"motiv, efficaci, student, goal, belief";0,1425;0,0654107898482462;0,0231262065322315
1999;"onlin, inform, resourc, design, open";0,150555555555556;0,0835615921493821;0,013926932024897
1999;"organ, manag, organiz, organis, level";0,144722222222222;0,0994696252592034;0,0165782708765339
1999;"parent, famili, children, school, involv";0,178888888888889;0,12116536531383;0,0285589504861183
1999;"polici, educ, nation, govern, reform";0,126538461538462;0,0699109323463681;0,0137106618556768
1999;"polit, educ, liber, social, state";0,138148148148148;0,108522845416106;0,0208852313380709
1999;"practic, explor, engag, context, australia";0,137647058823529;0,0630564356905497;0,0108140895050589
1999;"present, perspect, practic, field, issu";0,121346153846154;0,0672434513512128;0,00932498891484485
1999;"problem, situat, conflict, face, challeng";0,12025641025641;0,0617502260591293;0,00988794969589516
1999;"problem, skill, strategi, think, cognit";0,135882352941176;0,072157976818494;0,0123749909311177
1999;"profession, practic, develop, teacher, learn";0,128918918918919;0,0772723820069048;0,0127035013486079
1999;"program, educ, turkei, turkish, develop";0,09625;0,0553624421426656;0,0138406105356664
1999;"project, develop, innov, learn, process";0,130606060606061;0,076074432941162;0,00936411537613489
1999;"public, educ, market, privat, choic";0,0983333333333333;0,0674972766335145;0,0159092606730608
1999;"pupil, school, class, teacher, primari";0,126078431372549;0,0752616351502556;0,0105387368792285
1999;"qualiti, evalu, improv, process, system";0,120625;0,0627816235698354;0,011098327940033
1999;"question, make, import, reason, need";0,10828125;0,0483228128944471;0,00604035161180589
